"","lat","lng","Place ID"
"1","18.4738868","-69.8183252","ChIJacAqAaKHr44RpwCVcEA4OMo"
"2","18.4778890","-69.9010020","ChIJxzpYpzaIr44RePuBfbCbFLg"
"3","18.4913414","-69.8714668","ChIJ6eFkrHqIr44R1Us86aeclNI"
"4","18.4931563","-69.8558319","ChIJE1W_7daHr44RPC_nqc3do6Y"
"5","18.4930047","-69.8883677","ChIJNzusUkOIr44RW_JegW7p2_Y"
"6","18.4951380","-69.8717926","ChIJv4N8tWSIr44RT37seheD_EI"
"7","18.4716605","-69.8903491","ChIJd59gaDuIr44RcIXZM--dDFc"
"8","18.4863554","-69.8732722","ChIJ13c8bW6Ir44RVjUVa1OYcqg"
"9","18.4921570","-69.8692330","ChIJH6t983qIr44R9UcxEGPjWnY"
"10","18.4923688","-69.8637182","ChIJN_k7pHmIr44RuBa6RzgvQMw"
"11","18.4911361","-69.8707802","ChIJJRI7pHqIr44RJ-DKmfuFnX4"
"12","18.4902068","-69.8634517","ChIJSbYD2nmIr44RL7wFuKWz7PY"
"13","18.4937628","-69.8626131","ChIJ46iN4XiIr44RZhoGPPZk9yU"
"14","18.5011873","-69.8412203","ChIJ3QVnhDSGr44RYLx3jJ369Vo"
"15","18.4858262","-69.8504949","ChIJEZhj_tqHr44RAxI2h5f3O9U"
"16","18.4792761","-69.8328199","ChIJMfhK4L6Hr44RQp_kGNtvI0c"
"17","18.5030219","-69.8714668","ChIJrb_O4oeIr44RGK_eCaemY_w"
"18","18.4870337","-69.8669067","ChIJV1rJI3GIr44RHR9jU6_7bgw"
"19","18.4864618","-69.8665344","ChIJB9xrOnGIr44RlsAZ1hFqXJU"
"20","18.4795426","-69.8800287","ChIJwVZo2hSIr44RxoEDGT8GstM"
"21","18.4713819","-69.8837799","ChIJYdcEfD2Ir44RYZuqnl9a0Ak"
"22","18.4786220","-69.8611271","ChIJq1M-SnWIr44R75czyvF8sNw"
"23","18.4870371","-69.8517823","ChIJoX6tQ9qHr44RaNske2Y7YVk"
"24","18.4903236","-69.8622054","ChIJA1GrMXiIr44Rndmp4Tb6dic"
"25","18.4877287","-69.8667299","ChIJjVxA2XCIr44RPqtlQhJhhhU"
"26","18.4877792","-69.8677388","ChIJ6TWo43CIr44RO3DiNQdn4LU"
"27","18.4912738","-69.8696411","ChIJhVtVhXqIr44Rw_zKzio3osI"
"28","18.4987750","-69.8612210","ChIJqdp1mH-Ir44Rmdp0ySBoABA"
"29","18.4856040","-69.8708753","ChIJnU77-3GIr44RTUmB9fYt-Vs"
"30","18.4975884","-69.8521437","ChIJlYqODNOHr44RSjZdIrbY2wM"
"31","18.4929167","-69.8734722","ChIJeUHPFmWIr44RRDh7LPjkpK4"
"32","18.4994195","-69.8522963","ChIJCaEgSNOHr44ReCWH7CAyKQc"
"33","18.5028160","-69.8550330","ChIJFxF3dCuGr44Rsp7ezyhXtdI"
"34","18.4877443","-69.8770514","ChIJddNSzm6Ir44RdcfsKTvwfy8"
"35","18.5011937","-69.8511902","ChIJHQDZ3SyGr44RK18EnX9roZQ"
"36","18.5010868","-69.8503028","ChIJFWVFIi2Gr44RqFVbexjbCj8"
"37","18.4922089","-69.8438705","ChIJvZwCk86Hr44RWZWB_oHOXsk"
"38","18.4891255","-69.8433609","ChIJq6qqas-Hr44RhHZzxggZklc"
"39","18.5045626","-69.8722667","ChIJK_Aae4iIr44RT4Zn5wZ5KKg"
"40","18.5078431","-69.8648189","ChIJfTaH74OIr44ROCpA2a0y9ik"
"41","18.4995429","-69.8781555","ChIJyVese2GIr44RIfskAbJu24c"
"42","18.4780980","-69.8777623","ChIJo30vnRSIr44RK8lTdH6hW7s"
"43","18.4874775","-69.8403420","ChIJ_6GNn8iHr44R0q7hrwoKcVk"
"44","18.4709939","-69.8522504","ChIJ0a5SPeSHr44Rtw30Pv-vQl8"
"45","18.4859929","-69.8398919","ChIJ1WWTOMaHr44RPpUraQuOxcc"
"46","18.4966430","-69.8358837","ChIJbZIuYLWHr44RNCbP9mJNins"
"47","18.4965447","-69.8357762","ChIJlTS7YbWHr44R2INY_98f-z0"
"48","18.5113705","-69.8483235","ChIJoYl1TyWGr44R0tDNHuhu7Ew"
"49","18.4676765","-69.8751367","ChIJYXNYZBqIr44Rv9521VfL4yo"
"50","18.4739705","-69.8835429","ChIJy5wmHhaIr44RkctF4OLrOGw"
"51","18.5162650","-69.8619008","ChIJ_5AZup2Ir44RZXvK63LZJ9I"
"52","18.5001105","-69.8884044","ChIJq6qqxl6Ir44RI9Gytxg1j2c"
"53","18.4886870","-69.8311390","ChIJY5SbI7eHr44RzzE4gS_hN54"
"54","18.5047206","-69.8896980","ChIJG2an4vWIr44R0neyiTcqfEM"
"55","18.4730193","-69.8866172","ChIJjTtfUzyIr44RoHNDb-XXE0U"
"56","18.4791924","-69.8901944","ChIJJUvG1TiIr44R_uk4OOiFBII"
"57","18.5147071","-69.8450238","ChIJ6aJ_nDuGr44R8PF9KynxxV8"
"58","18.5179697","-69.8516326","ChIJ61i2kCOGr44RrF-dEq7kNxc"
"59","18.4725175","-69.8876314","ChIJ5SKZ9jyIr44RLX2DPP73x1E"
"60","18.4992545","-69.8309794","ChIJoxegaUuGr44RugAcLXwvc3Y"
"61","18.4691346","-69.8372003","ChIJ8fJTvOyHr44RKkkcNAki3xY"
"62","18.5019270","-69.8317954","ChIJ2XhJv0uGr44RLWYG60KvJxA"
