"","placename","placephone","placeaddress"
"1","Escuela Fernando Alberto Defilló","ND","Calle Ramon Matias Mella 30, Santo Domingo Este 11705, Dominican Republic"
"2","Colegio Don Bosco Santo Domingo","(809) 682-2237","Calle San Juan Bosco 27, Santo Domingo 10201, Dominican Republic"
"3","Colegio Santa Teresa","(809) 594-8849","Calle Jesus de Galindez 50, Santo Domingo Este 11501, Dominican Republic"
"4","Colegio Cardenal Sancha","(809) 594-2056","Calle Costa Rica, Santo Domingo Este 11504, Dominican Republic"
"5","Salesian Technical Institute","(809) 536-9191","Av. Albert Thomas 66, Santo Domingo 10306, Dominican Republic"
"6","Colegio San Martin de Porres","(809) 591-4333","Calle Leovilda del Villar 84, Santo Domingo 11501, Dominican Republic"
"7","Escuela Nacional de Locucion Profesor Otto Rivera","(809) 682-6877","Calle El Conde 502, Santo Domingo 10210, Dominican Republic"
"8","The Cathedral School of Santo Domingo","(809) 592-9997","Calle Club Rotario C/Juan Goico Alix #1, Santo Domingo Este 11501, Dominican Republic"
"9","Republic of Panama Elementary School","(809) 594-9120","Calle Puerto Rico, Santo Domingo Este 11501, Dominican Republic"
"10","Colegio San Jose Obrero","(809) 594-1206","Calle Costa Rica 128, Santo Domingo 11504, Dominican Republic"
"11","Colegio Los Clavelines","(809) 594-0291","Calle Jesus de Galindez, Santo Domingo Este 11501, Dominican Republic"
"12","LAM School International","(809) 596-7452","Calle Bonaire 130, Santo Domingo 11501, Dominican Republic"
"13","Colegio Santa Rosa de Lima","(809) 596-4177","Mainardi Reyna, Santo Domingo 11504, Dominican Republic"
"14","Colegio Tirso de Molina","(809) 595-7982","Carr. de Mendoza, Santo Domingo 11510, Dominican Republic"
"15","Brilliant Minds School","(809) 592-5454","Marginal Norte 10, Santo Domingo Este 809, Dominican Republic"
"16","Colegio Cervantes","(809) 766-5555","Av 4ta, Santo Domingo Este 11605, Dominican Republic"
"17","Politecnico Virgen de la Altagracia","(809) 596-7353","Santo Domingo 11906, Dominican Republic"
"18","Immaculate Conception School","(809) 596-9606","Calle Octavio Mejia Ricart 69, Santo Domingo Este 11501, Dominican Republic"
"19","Guardería Nazaret Paz y Bien","(809) 596-8715","Calle Ramon Marrero Aristy, Santo Domingo Este 11501, Dominican Republic"
"20","Politecnico Maria de la Altagracia","(809) 593-3305","Santo Domingo 11602, Dominican Republic"
"21","Colegio Dominicano de Ingenieros, Arquitectos y Agrimensores","(829) 378-0038","Calle Padre Billini No.58, Zona Colonial, Santo Domingo 10210, Dominican Republic"
"22","Academia de Tenis Elvis Espinal","ND","Santo Domingo Este 11604, Dominican Republic"
"23","Centro Educativo de la Gracia","(809) 788-4662","Calle Marginal, Santo Domingo Este 11506, Dominican Republic"
"24","High Steps Bilingual School","(809) 594-8924","Calle Virgilio Mainardi Reyna, Santo Domingo Este 11503, Dominican Republic"
"25","Colegio Psicopedagogico Ozama","(809) 596-6516","Calle Ramon Marrero Aristy, Santo Domingo Este 11501, Dominican Republic"
"26","Centro educativo Decroly Oriental","(809) 594-4406","Calle Aruba, Santo Domingo Este 11501, Dominican Republic"
"27","Adventist school Ozama","(809) 593-6868","Av Venezuela 69, Santo Domingo Este 11501, Dominican Republic"
"28","Colegio Nuestra Señora Del Rosario De Fátima","(809) 596-7541","Calle L, Santo Domingo Este 11901, Dominican Republic"
"29","Funval RD","(809) 598-1582","Avenida Las Américas Santo Domingo Este Dominican Republic, Santo Domingo Este 11501, Dominican Republic"
"30","Centro De Entrenamiento En Emergencias Medicas Y Adiestramientos","(809) 422-8035","Av San Vicente de Paúl, Santo Domingo Este, Dominican Republic"
"31","Colegio Episcopal Santísima Trinidad","ND","18°29'34.5""N 69°52'W, Calle San Francisco de Asis, Santo Domingo Este 11501, Dominican Republic"
"32","Colegio Dominicano de Administradores. (Cadom)","(809) 595-6359","Av San Vicente de Paúl, Santo Domingo Este, Dominican Republic"
"33","INCOTÉ","(809) 788-1353","Av. San Vicente de Paúl #110, al lado del Bravo, Santo Domingo Este 11511, Dominican Republic"
"34","Utesa oriental","ND","Ramón Matías Mella, Santo Domingo Este 11502, Dominican Republic"
"35","Colegio Cristiano Adonai","(809) 591-2620","Santo Domingo Este 11510, Dominican Republic"
"36","el despertar","ND","Calle 20, Santo Domingo Este 11510, Dominican Republic"
"37","Happy Learning School","(809) 788-2586","Av. Pdte. Vásquez 374, Santo Domingo Este, Dominican Republic"
"38","Funproniva","(829) 803-9899","Santo Domingo 11506, Dominican Republic"
"39","Pollo Sabroso","(829) 204-1353","Av Venezuela, Santo Domingo Este 11906, Dominican Republic"
"40","Colegio Adventista Josefina Wright","(809) 593-6353","Calle Juan Pablo Duarte, Santo Domingo Este 11901, Dominican Republic"
"41","Santa Filomena Fe y Alegria School","ND","Ricardo Cartty, Santo Domingo 10304, Dominican Republic"
"42","Colegio Los Rosantes","(809) 595-9110","no 10, Av. España, Santo Domingo 11602, Dominican Republic"
"43","Global Mission Bilingual School","(809) 591-4656","9, Calle Pompeya, Santo Domingo Este 11506, Dominican Republic"
"44","Centro Infantil de Educacion y Cultura CEINEC","(809) 231-8708","Calle Proyeco VI #15,, Santo Domingo Este, Dominican Republic"
"45","School Choferes Rivers - Eastern Zone","(809) 317-4747","Calle Pompeya, Santo Domingo Este 11506, Dominican Republic"
"46","Parroquia Virgen","(829) 487-4523","Santo Domingo Este, Dominican Republic"
"47","Parroquia Santa","(809) 789-4562","Santo Domingo Este, Dominican Republic"
"48","J&M Soluciones Consulting","(809) 597-0300","# Esquina, Carr. Mella & Calle Ent. al Cachón, Santo Domingo Este 11516, Dominican Republic"
"49","Observatorio Astronómico Prof. Petronio Mejía","(809) 593-0707","Academia Naval Vicealmirante César De Windt Lavandier, Santo Domingo Este 11603, Dominican Republic"
"50","Escuela Nacional de Artes Visuales ENAV","(809) 687-8383","Ciudad Colonial, Santo Domingo 10210, Dominican Republic"
"51","COLEGIO LLUVIA DE BENDICIONES","(829) 252-9205","Calle 4 de Agosto, Santo Domingo Este 11903, Dominican Republic"
"52","Escuela Laboral Loma Del Chivo","(809) 334-8719","ADN, Calle 21 de Enero, Santo Domingo 10305, Dominican Republic"
